DATE,lat,lon
6/1/1951,38.49881,127.66974
6/1/1951,39.66879,125.50653
6/1/1951,39.60215,125.66717
6/1/1951,39.91217,127.56091
6/1/1951,38.24362,126.41753
6/1/1951,52.89048,126.55293
6/1/1951,40.77223,125.61128
6/1/1951,39.65877,125.55279
6/1/1951,38.16582,127.71006
6/1/1951,38.20858,126.92125
6/1/1951,38.20318,127.83503
6/1/1951,38.25461,126.97708
6/1/1951,38.20173,127.04706
6/1/1951,38.15706,127.73304
6/1/1951,38.1824,127.58418
6/1/1951,38.29953,127.5819
6/1/1951,38.25448,127.58278
6/1/1951,38.22268,127.99466
6/1/1951,38.16118,128.20096
6/1/1951,36.6651,128.22789
6/1/1951,38.29038,127.57065
6/1/1951,39.65877,125.55279
6/1/1951,40.11406,126.266
6/1/1951,39.68349,125.22724
6/2/1951,39.70554,125.00633
6/2/1951,39.70554,125.00633
6/2/1951,39.53857,127.25447
6/2/1951,39.52939,127.24307
6/2/1951,40.72265,126.48985
6/2/1951,40.72265,126.48985
6/2/1951,38.01361,126.61924
6/2/1951,38.08702,126.68527
6/2/1951,38.17484,127.7099
6/2/1951,38.07934,126.75391
6/2/1951,38.18409,127.73257
6/2/1951,38.22616,127.48051
6/2/1951,38.13879,127.71054
6/2/1951,38.27193,127.53671
6/2/1951,38.20136,127.66375
6/2/1951,38.18385,127.70974
6/2/1951,39.6775,125.06382
6/2/1951,40.79618,126.5582
6/2/1951,39.65877,125.55279
6/3/1951,38.45245,125.89926
6/3/1951,38.50132,125.74071
6/3/1951,39.84011,127.56241
6/3/1951,39.54758,127.25425
6/3/1951,38.09821,126.79895
6/3/1951,38.1091,126.90126
6/3/1951,38.20173,127.04706
6/3/1951,38.20017,126.95575
6/3/1951,38.39237,127.13354
6/3/1951,38.20837,126.90984
6/3/1951,38.26555,127.76545
6/3/1951,38.26321,127.55975
6/3/1951,38.57547,127.32395
6/3/1951,38.12569,127.37992
6/3/1951,38.17545,127.09342
6/3/1951,38.28164,127.59368
6/3/1951,39.70554,125.00633
6/3/1951,40.72265,126.48985
6/4/1951,38.51032,125.74105
6/4/1951,39.5384,127.24284
6/4/1951,38.09396,126.58243
6/4/1951,38.19176,126.99024
6/4/1951,38.20248,127.09272
6/4/1951,38.2592,128.0513
6/4/1951,38.19723,128.20057
6/4/1951,38.17445,127.67566
6/4/1951,38.21062,127.68643
6/4/1951,38.21037,127.66359
6/4/1951,38.30812,127.54742
6/4/1951,38.19347,127.09295
6/4/1951,38.17782,128.01811
6/4/1951,38.21377,128.0062
6/4/1951,38.13422,128.21267
6/4/1951,38.20134,127.02423
6/5/1951,39.90272,127.52601
6/5/1951,38.51032,125.74105
6/5/1951,38.73373,125.41599
6/5/1951,38.23718,127.01184
6/5/1951,38.11448,126.70721
6/5/1951,38.20212,127.73226
6/5/1951,38.21113,127.73211
6/5/1951,38.27675,127.99391
6/5/1951,38.22049,127.09225
6/5/1951,37.98682,126.6315
6/5/1951,37.92558,126.72447
6/5/1951,38.13898,126.58095
6/5/1951,38.37577,127.98109
6/5/1951,38.20957,126.97833
6/5/1951,38.20977,126.98974
6/5/1951,38.31279,127.99341
6/5/1951,38.21125,127.74353
6/5/1951,38.28623,128.05095
6/5/1951,38.31308,128.02772
6/6/1951,38.88885,127.91615
6/6/1951,38.73373,125.41599
6/6/1951,39.90272,127.52601
6/6/1951,38.37762,127.35142
6/6/1951,38.39481,127.29378
6/6/1951,38.4215,127.27024
6/6/1951,38.34977,127.29484
6/6/1951,38.39547,127.33957
6/6/1951,38.33992,127.23786
6/6/1951,38.36728,127.26009
6/6/1951,38.3219,127.2383
6/7/1951,38.26751,127.21675
6/7/1951,38.54568,127.14106
6/7/1951,38.34076,127.29505
6/7/1951,38.22556,127.43483
6/7/1951,38.3071,127.46739
6/7/1951,38.36812,127.3173
6/7/1951,38.35107,127.38636
6/7/1951,38.36924,127.3974
6/7/1951,38.37762,127.35142
6/7/1951,38.39563,127.35101
6/7/1951,38.24403,127.46871
